Current price,Origninal price,Listing title,Condition
"£2,299.99GBP","£2,299.99GBP","PRS USA Paul Reed Smith 20th Swamp Ash Special 22 ""Trans Blue + Flamed Maple"" (2005).",Mint
£420.14GBP,£420.14GBP,Squier Tom Delonge Stratocaster Green,Excellent
"£2,286.35GBP","£2,286.35GBP",Duesenberg Alliance Sascha Paeth Artificial Snakeskin Red,Mint
"£4,099.99GBP","£4,099.99GBP","PRS USA Paul Reed Smith USA Custom 24 Satin 58/15 Wood Library LTD ""Aquamarine + Ziricote"" (2018).",Mint
"£6,138.97GBP","£6,138.97GBP",Fernandes Stratocaster sunburst-make me an offer,Mint
"£1,155.41GBP","£1,155.41GBP",Sadowsky Tokyo RS (2000’sUSED) -Lake Placid Blue- 【Made In Japan】,Good
"£14,004.69GBP","£14,004.69GBP",Fender Stratocaster 1965 Sunburst - All Original -,Very Good
"£2,000GBP","£2,000GBP",Paul Reed Smith CUSTOM 1996 cherry SB,Very Good
"£2,052.37GBP","£2,052.37GBP",Jackson USA Soloist SL2H Transparent Green Flame Top With Matching Headstock 2008 OHSC,Very Good
£475.23GBP,£475.23GBP,Epiphone Les Paul Custom Prophecy 2009 Midnight Ebony,Very Good
£300GBP,£300GBP,Blonde Strat,Good
£949.99GBP,£949.99GBP,"FENDER USA Standard Stratocaster ""Candy Apple Red + Maple"" (2005).",Excellent
£672.22GBP,£672.22GBP,Eastwood Esprit Ultra Robben Ford Signature,Excellent
"£1,447.15GBP","£1,447.15GBP",Fender Jaguar American Vintage Reissue '62 2003 Sunburst,Very Good
£326.78GBP,£326.78GBP,Squier CV Esquire,Excellent
£195GBP,£195GBP,Ibanez GRG270B 2011 Black,Very Good
"£2,511.51GBP","£2,511.51GBP",ESP Custom Shop KH-2 Kirk Hammett Signature KH2 Bolt On 1995,Good
£886.03GBP,£886.03GBP,"Fender 60th Anniversary Classic Player 50 Stratocaster, Maple Fingerboard, Desert Sand",Mint
£694.65GBP,£694.65GBP,Gibson Les Paul Junior LPJ 2014 Natural brown Anniversary 120,Very Good
"£4,854.96GBP","£4,854.96GBP",Gibson Les Paul Standard 1959 VOS Lemon Burst 2011,Excellent
£347.33GBP,£347.33GBP,Ibanez RG665 1987,Good
£109.72GBP,£109.72GBP,ESP LTD M-10 Electric Guitar Satin Black 2019,Very Good
£434.16GBP,£434.16GBP,Epiphone Les Paul Standard Plus Pro Top 2018 Trans Blue,Very Good
£631.50GBP,£631.50GBP,Bundle 2 Epiphone E Series Slasher (Firebird) FX (Built in Chorus+Distortion) and Poly X (explorer),Fair
"£4,333.67GBP","£4,333.67GBP",Gibson Custom Shop Historic 1959 Reissue Les Paul R9 Quilted Top 2006',Very Good
"£3,631.12GBP","£3,631.12GBP",Jackson USA Custom Shop SL2 Soloist 2016 Gold Sparkle With Gold Hardware,Mint
"£2,447.06GBP","£2,447.06GBP",Gibson Custom Shop '54 Les Paul Goldtop Reissue 2006 - 2012 Goldtop VOS,Excellent
"£1,400.47GBP","£1,400.47GBP",Fender American Series Telecaster with Maple Fretboard 2000 - 2007 Natural,Mint
£362.71GBP,£362.71GBP,1997 Fernandes JG-55 Jaguar Offset HS Electric Guitar (Metallic Black),Very Good
£258.92GBP,£258.92GBP,1970's Holly Japan Single Cutaway Standard (Ebony),Good
£270.45GBP,£270.45GBP,1970's Holly Japan (by Suzuki) Vintage Superstrat,Good
"£1,268.05GBP","£1,268.05GBP",1978 Greco Japan M900 Mirage (Iceman) Electric Guitar w/Hard Case,Very Good
£500GBP,£500GBP,Fender Stratocaster 2004 Silver,Good
"£1,105.13GBP","£1,105.13GBP",Fender American Professional Telecaster with Maple Fretboard 2017 - 2019 Butterscotch Blonde,Excellent
"£1,302.47GBP","£1,460.34",Gibson Les Paul Standard Premium Plus 2002 - 2008,Very Good
£710.44GBP,£710.44GBP,"Dean Dave Mustaine VMNT, EMG 81-85, Hardcase, straplock and straps",Very Good
£258.92GBP,£258.92GBP,1970's Fresher Japan Single Cutaway Standard (Brown Sunburst),Fair
£443.44GBP,£443.44GBP,2000's Greco Japan SJR-82 Junior Double Cutaway (Alpine White),Very Good
£668.13GBP,£668.13GBP,Fender CABRONITA™ TELECASTER (2012'USED) 3-Color Sunburst,Very Good
"£1,659.28GBP","£1,659.28GBP",Gibson Les Paul Standard '50s 2019 Gold Top,Excellent
"£3,631.12GBP","£3,631.12GBP",Jackson Custom Shop SL2H-V Soloist 2019 Red Snakeskin OHSC,Mint
£749.07GBP,£749.07GBP,2009 Tokai Japan Love Rock II Double Cutaway (Violin Finish),Very Good
£518.41GBP,£518.41GBP,2009 Tokai Japan SG85 Double Cutaway (Wine Red),Good
£500GBP,£500GBP,Jedson Telecaster Japan,Very Good
£576.07GBP,£576.07GBP,1980 Fernandes FST-80 Custom Order Stratocaster (Nitro) w/Schallers and Dimarzio,Very Good
£547.24GBP,£547.24GBP,1978 Aria Pro Japan RG750 (325) Electric Guitar (Black),Good
£473.62GBP,£473.62GBP,Jackson DKMGT Black MIJ Dinky Dinky Made In Japan guitar EMG afterburner pups,Good
"£1,514.66GBP","£1,514.66GBP",Gretsch G6131T-TVP Power Jet Firebird with Bigsby 2013,Very Good
£445GBP,£445GBP,Ibanez JS 100 Black Joe Satriani,Excellent
"£2,368.13GBP","£2,368.13GBP",Fender Stratocaster 1994 taboccoburst,Mint
£592.03GBP,£592.03GBP,EVH Wolfgang WG Standard with Baked Maple Neck 2020 Quicksilver,Mint
£172.99GBP,£172.99GBP,Teisco Sg 1970 Cream,Good
£972.90GBP,"£1,144.59","Fender Eric Johnson Stratocaster / Musikraft ""Blackguard"" Strat Neck",Very Good
£399GBP,£399GBP,Fernandes Ravelle X Red,Very Good
"£2,210.25GBP","£2,210.25GBP",Caparison Dellinger JSM Black,Excellent
£730.17GBP,£730.17GBP,Fender '62 Reissue Stratocaster 2010 Black,Very Good
£129GBP,£129GBP,Epiphone Special II Sunburst,Excellent
£394.69GBP,£394.69GBP,Paul Reed Smith SE Paul Allender 2007 - 2009,Good
"£1,460.34GBP","£1,460.34GBP","Nash T-52 Telecaster..""BOATNECK"" 2011 model..with SKB flight case!",Excellent
£592.03GBP,£592.03GBP,Vintage 1980 Artist AR50 MIJ Electric Guitar Black 2 Humbucker Pick Ups Brushed Chrome Hardware,Excellent
"£1,889GBP","£1,889GBP",Gibson 2000 '60s Les Paul Standard Electric Guitar (Bourbon Burst),Very Good
"£1,724.05GBP","£1,724.05GBP",Gibson Les Paul Standard 2019 Heritage Cherry Sunburst,Very Good
£276.28GBP,£276.28GBP,1999 Ibanez RG320DX Upgraded with EMG 81/85s,Very Good
£513.09GBP,£513.09GBP,2000s Ibanez Artist Artist Rare AR32 12 String Version Electric Guitar Sunburst 2 Humbucker Pick Ups,Excellent
£117.62GBP,£117.62GBP,Fender Squier Strat Affinity - Black,Excellent
"£3,311.43GBP","£3,311.43GBP",1984 Gibson Les Paul Custom Black Beauty Shaw Pickups Electric Guitar w/OHSC,Very Good
"£2,920.69GBP","£2,920.69GBP",Used 2018 Fender Custom Shop Jimi Hendrix Voodoo Child Strat Journeyman Olympic White,Excellent
"£1,729.95GBP","£1,729.95GBP",Ampeg ADA6 Dan Armstrong Lucite Guitar Reissue Clear,Excellent
£500GBP,£500GBP,Fender Telecaster Butterscotch Blonde,Excellent
"£2,299GBP","£2,299GBP","Tom Anderson 1999 Cobra Special Electric Guitar in Translucent Cherry, Pre-Owned",Fair
£867.52GBP,£867.52GBP,2016 Fender American Professional Telecaster Deluxe Shawbucker in Black,Excellent
£326.78GBP,£326.78GBP,Peavey AT-200 Auto Tune Self-Tuning Electric Guitar Candy Apple Red,Excellent
£420.14GBP,£420.14GBP,Godin Radiator 1999 Green/White hardshell case,Excellent
"£1,128.02GBP","£1,128.02GBP",1978 Gibson The Paul in Natural,Good
"£1,483.24GBP","£1,483.24GBP",Fender '62 American Vintage Stratocaster 1988 Olympic White,Very Good
"£1,874.77GBP","£1,874.77GBP","Fender 1978 Telecaster ""Natural"" Very Clean.",Very Good
"£1,128.02GBP","£1,128.02GBP",2020 Gibson SG Standard in Ebony,Excellent
£630.71GBP,£630.71GBP,2019 Charvel Pro-Mod DK24 HH 2PT CM in Satin Burgundy Mist,Excellent
£220GBP,£220GBP,Epiphone Les Paul Standard 2017 Gold Top,Very Good
"£7,542.48GBP","£7,542.48GBP",Gibson LES PAUL SPECIAL DOUBLE CUT AND MATCHING GIBSONETTE TREMOLO AMP 1959 TV YELLOW,Excellent
£745.96GBP,£745.96GBP,Custom Fender American Standard Stratocaster With Roasted Maple Fender Mexican Neck,Excellent
£867.52GBP,£867.52GBP,1974 Gibson SG-II in Cherry,Very Good
"£1,890.55GBP","£1,890.55GBP",MINTY! 2014 Gibson Les Paul Traditional Blueberry Burst Flame + Hard Case,Excellent
£392.13GBP,£392.13GBP,Ibanez AR420 Artist Series,Excellent
£946.46GBP,£946.46GBP,Kiesel Delos 7-String HSS Guitar Green Used,Excellent
"£1,759.52GBP","£1,759.52GBP",2020 Rickenbacker 660 in Jetglo,Excellent
£980.30GBP,£980.30GBP,Fender Highway One 2010 Black Nitro,Excellent
"£4,854.96GBP","£4,854.96GBP",Fender Stratocaster Lefty 1976 White Creme Rosewood Fingerboard,Excellent
£98.63GBP,£98.63GBP,Ibanez GRGM21BKN Electric Guitar Mikro Black,Good
£899.89GBP,"£1,105.13",1996 Fender American Standard Stratocaster with Maple Fretboard 1995 - 1997 Brown Sunburst,Good
£394.69GBP,£394.69GBP,Danelectro 56 Baritone Silver Sparkle,Very Good
"£3,077.77GBP","£3,077.77GBP",1976 Gibson Les Paul Deluxe in Tobacco Sunburst,Excellent
"£2,762.02GBP","£2,762.02GBP",2012 Gibson Custom Shop Les Paul SG VOS in Cherry,Excellent
"£3,125GBP","£3,125GBP",Gibson 2006 Firebird VII Red Metallic,Excellent
£197.34GBP,£197.34GBP,Peavey Predator White (Made in USA) w/ Gig Bag,Good
£604.93GBP,£604.93GBP,ESP LTD EC 1000T-Left Honey Burst Satin,Very Good
£725.92GBP,£725.92GBP,Washburn Dean USA Chicago Series w/ piezo and synth pedal package,Very Good
"£1,895GBP","£1,895GBP",Rickenbacker 620/12 – JetGlo (12 String) 2011,Excellent
"£7,889.80GBP","£7,889.80GBP",Gibson Les Paul Mike McCready 1959 Aged #05 2016,Mint
£670.97GBP,£670.97GBP,Ibanez Custom RG350EX Black / White Vai Swirl Electric Guitar w/ Dimebuckers,Excellent
"£1,104.34GBP","£1,104.34GBP",Used Gibson SG Standard '61 - Vintage Cherry,Mint
£925GBP,£925GBP,Fender Paisley Telecaster (Made in Japan),Very Good
£94.72GBP,£94.72GBP,Epiphone Les Paul Special-II LE Tobacco Burst w/ Gig Bag,Very Good
"£2,762.81GBP","£2,762.81GBP",2018 Ernie Ball Music Man EBMM Majesty John Petrucci Signature Starry Night Matte Black Hardware,Excellent
£946.46GBP,£946.46GBP,Ormsby Ormsby SX GTR Carved Top,Mint
"£1,820.61GBP","£1,820.61GBP",Ibanez UV777P BK Steve Vai Signature Universe,Mint
£473.63GBP,£473.63GBP,Gretsch Electromatic Pro Jet 2004 - 2010,Excellent
£414.42GBP,£414.42GBP,Fender Player Lead III,Excellent
£260GBP,£260GBP,G&L Tribute Series ASAT Classic Bluesboy,Good
£888.05GBP,£986.72,2011 Gibson 335-S With Original Hardshell Case And Candy *Mint*,Mint
"£1,574.80GBP","£1,574.80GBP","Fender Stratocaster Yngwie Malmsteen ""Signature Model"" 1989 Candy Apple Red",Very Good
£513.51GBP,£513.51GBP,Ibanez AR725-VLS Artist Expressionist Series Electric Guitar Violin Sunburst (with case),Mint
"£1,400GBP","£1,800",Reiver Guitars SLG 6 2020 Swamp Green,Mint
"£3,393.52GBP","£3,393.52GBP",PRS Custom Shop Custom 24 Brazilian Rosewood Fretboard Artist Package Autumn Sky 2020,Excellent
"£3,034.35GBP","£3,034.35GBP",Ernie Ball Music Man John Petrucci Majesty 7,Mint
£947.25GBP,£947.25GBP,Fender TL-69 Telecaster Made In Japan,Good
"£1,727.24GBP","£1,727.24GBP",Ibanez FGM400 BB Frank Gambale Signature,Excellent
£592.03GBP,£592.03GBP,Gibson SGJ 2014 120th Anniversary,Excellent
£121.37GBP,£121.37GBP,Hondo II,Good
£256.55GBP,£256.55GBP,Fender Squier CLASSIC VIBE '60S JAZZMASTER 2016 Olympic White,Excellent
£725GBP,£725GBP,Peavey Generation S3 Telecaster. 1992 USA. Honey Burst. Rare. Beautiful Condition! + OHSC.,Very Good
"£4,337.62GBP","£4,337.62GBP",100% original 1973 Gibson LES PAUL CUSTOM Cherry Sunburst w/OHSC,Very Good
"£3,734.58GBP","£3,734.58GBP",Gibson Les Paul Custom 2012 Silverburst,Very Good
"£1,578.75GBP","£1,578.75GBP",Lund Guitars Handcrafted Custom Electric Guitar—Blacked Out Top,Very Good
"£1,578.74GBP","£1,578.74GBP",Paul Reed Smith PRS Silver Sky John Mayer Signature Guitar Midnight Rose,Excellent
"£8,288.44GBP","£8,288.44GBP",PRS Private Stock #8351 Custom 24 2019 Redwood Burl,Excellent
£221.02GBP,£221.02GBP,LTD ALEXI-200 2009 Alexi Laiho Signature Model V Style Guitar,Good
£510.73GBP,£510.73GBP,Schecter SUN VALLEY SS-Floyd Rose - Lambo Orange,Mint
"£1,120.37GBP","£1,120.37GBP",Jerry Jones Master Sitar Black Gator,Very Good
£315.75GBP,£315.75GBP,Epiphone Sg E series bully 2000’s Red,Good
£55.25GBP,£55.25GBP,Ion Stratocaster Tobacco Burst Electric Guitar,Good
£78.94GBP,£78.94GBP,Musima Deluxe 25k 70's Sunburst,Good
"£1,400GBP","£1,800",Reiver Guitars SLG 6 2020 Swamp Green,Mint
£236.02GBP,£236.02GBP,Squier Contemporary Active Jazzmaster HH Stop Tail with Laurel Fretboard Surf Pearl 2018,Good
"£7,064.91GBP","£7,064.91GBP",1968 Fender Telecaster Blonde,Very Good
"£1,227.48GBP","£1,227.48GBP",Ernie Ball Music Man JP-6 John Petrucci 2004 Pearl White,Good
"£1,176.39GBP","£1,176.39GBP",Awesome 1991 Fender Strat Plus Deluxe with case,Excellent
£355.22GBP,£355.22GBP,Floyd Rose Discovery HH2 White,Mint
"£2,040.53GBP","£2,040.53GBP",PRS Paul Reed Smith Custom 24 10 Top Natural Flame,Very Good
£236.80GBP,£236.80GBP,Bently Single Cut Sunburst Electric Guitar,Very Good
"£6,722.25GBP","£6,722.25GBP",Paul Reed Smith PRS Modern Eagle I - Full Brazilian Rosewood Neck & Fingerboard - 2006 Faded Blue Jeans,Mint
£631.49GBP,£631.49GBP,B.C. Rich Gunslinger Retro Blade 2009 MIK Korea 2009 Ferrari Red,Excellent
"£1,306.17GBP","£1,306.17GBP",Fender Telecaster Thinline TL'72 HH 2010 ash natural japan import,Very Good
£559.25GBP,£839.35,FENDER Telecaster Custom FSR HH Special Run Limited Gold Top / 2003 Made in Korea,Excellent
£280.09GBP,£280.09GBP,Charvel Model 2 1986/87 Pink (Burgundy Mist),Mint
"£2,289.19GBP","£2,289.19GBP",2014 Fender Kurt Cobain Mustang - Custom Competition Blue - Lefty Left Handed - Jaguar,Very Good
£670.97GBP,£670.97GBP,Jackson Monarkh SCX3 2019 Black w/Hardcase,Mint
"£2,240.75GBP","£2,240.75GBP",Paul Reed Smith Silver Sky John Mayer Signature,Mint
£199GBP,£239,Danelectro Pro 56 semi-hollowbody limited edition + gig bag,Good
"£2,699.99GBP","£2,699.99GBP","FENDER USA Custom Shop Contemporary Stratocaster ""Cherry Burst + Rosewood"" (1995)",Mint
£709.65GBP,£709.65GBP,Fender Richie Sambora Signature Standard Stratocaster 1996,Excellent
"£10,270.10GBP","£10,270.10GBP",Gibson SG Standard 1962 Cherry,Excellent
"£1,164.33GBP","£1,322.20",Fender Stratocaster 1979 Translucent Wine,Good
£373.46GBP,£373.46GBP,Epiphone Gothic Flying 2002,Good
"£1,995GBP","£1,995GBP",Gibson Les Paul Standard 2016 Iced Tea Burst,Excellent
"£1,119.44GBP","£1,119.44GBP",Fender EOB Ed O'Brien Sustainer Signature Stratocaster 2017 Olympic White,Mint
"£8,999.99GBP","£8,999.99GBP","FENDER USA Custom Shop LTD ALOHA Stratocaster *Freddie Tavares ""Aluminium + Maple"" (1995) + Softcase",Excellent
£932.71GBP,£932.71GBP,Fender STratocaster American Standard 2012,Excellent
"£3,942.93GBP","£3,942.93GBP",Fender Tuff Dog Telecaster 2007 Sunburst Merle Haggard Custom Shop Tele,Excellent
£775GBP,£775GBP,Fender 1969 Reissue Mustang Three Tone Sunburst MIJ Japan 2005,Excellent
£989.66GBP,£989.66GBP,Schecter synyster gates custom Sustainiac 2015 black + schecter custom case,Excellent
£785.43GBP,£785.43GBP,Fender Japan TELECASTER TL62B-82TX OLB 2007 S-SERIAL Old Lake Placid Blue,Excellent
£196.55GBP,£196.55GBP,Harmony H-802 1972 Sunburst,Very Good
£670.97GBP,£670.97GBP,Epiphone Zakk Wylde Les Paul Custom Bullseye,Good
"£1,657.69GBP","£1,657.69GBP",Ernie Ball Music Man Axis Super Sport 2008 honeyburst,Very Good
"£1,282.45GBP","£1,282.45GBP",Fender Jaguar made in Japan,Very Good
"£1,435GBP","£1,435GBP",Fender American Standard Telecaster with Rosewood Fretboard 2013 Natural,Excellent
"£1,416.93GBP","£1,416.93GBP",Gibson Vixen 2006 PINK,Mint
"£4,799.99GBP","£4,799.99GBP","FENDER USA Custom Shop LTD 62 Stratocaster *Ruby Red 04 of 12 ""Trans Red + Maple"" (1996)",Mint
"£1,495.87GBP","£1,495.87GBP",Gibson Les Paul Vixen 2006 Metallic Red,Mint
£335.48GBP,£335.48GBP,Epiphone Les Paul Prophecy - Repaired,Good
£676.89GBP,£676.89GBP,G&L Climax Plus 90 Sunburst,Excellent
"£8,309.45GBP","£8,309.45GBP","Gibson Les Paul Collector Choice #13 ""Spoonful Burst"" 2014",Mint
£250GBP,£250GBP,ESP LTD TE-254,Mint
"£2,600GBP","£2,600GBP",Fender 2008 '64 Stratocaster LTD Relic Custom Shop NAMM 2008,Mint
"£3,585GBP","£3,585GBP",Fender Telecaster Deluxe 1975 Natural,Excellent
£785.43GBP,£785.43GBP,Fender American Standard Strat 1996 Burgundy Mist Metallic,Very Good
"£2,987.67GBP","£2,987.67GBP",Peavey EVH Wolfgang,Mint
£585GBP,£585GBP,PRS SE 277 Baritone,Excellent
£785.43GBP,£785.43GBP,Fender Stratocaster Albert Hammond Jr 920D 2019 White,Mint
£217.08GBP,£217.08GBP,Squier Strat 2006 Jawbreaker,Very Good
"£1,416.93GBP","£1,416.93GBP",Gibson Les Paul Vixen 2006 Yellow,Excellent
"£1,166.60GBP","£1,372.47",Gibson SG Special Vintage Sparkling Burgundy,Mint
"£3,169.73GBP","£3,729.91",Knaggs Kenai DR Doug Rappoport 2018 Gold Top,Excellent
£799.19GBP,£799.19GBP,1981 Greco EG-500 Sunburst - '59 / 50s neck - MIJ Japan EG59 - Lightweight Only 3.8kg -,Excellent
£745.98GBP,£745.98GBP,Gibson Les Paul Studio 2002 Black,Good
"£1,166.60GBP","£1,372.47",Gibson Les Paul Junior Vintage Tobacco Burst,Mint
"£1,671.23GBP","£1,671.23GBP",Fender Stratocaster 50th anniversary limited edition 1996 Sunburst,Excellent
£213.80GBP,£213.80GBP,Audition (Teisco/Kawai/Sakai/Chushin) solidbody guitar ~1970s made in Japan,Good
£53.01GBP,£62.36,Spectrum Strat Copy,Very Good
£434.16GBP,£434.16GBP,Jackson Pro Series KVT King V,Very Good
"£1,272.94GBP","£1,497.58",Gibson Flying V Antique Natural,Very Good
£544.67GBP,£544.67GBP,1986 Greco Japan Single Cut Custom Mint Collection EGC57-60 All Black,Very Good
£680.63GBP,£680.63GBP,"JACKSON X Series Soloist™ SLX DX Swirl, Laurel Fingerboard, Satin White Swirl ""B-Stock""",Mint
"£3,646.59GBP","£3,646.59GBP","GIBSON Les Paul Axcess Custom w/ Ebony Fingerboard Floyd Rose Gloss Ebony ""B-Stock""",Mint
"£3,169.14GBP","£3,169.14GBP","BLADE RH-2, See Thru Red, Baujahr 1989 USED!",Very Good
£652.62GBP,£652.62GBP,ITALIA Modena Classic in Green Sparkle USED,Very Good
"£1,111.04GBP","£1,111.04GBP","GIBSON SG Standard Heritage Cherry - E-Gitarre ""B-Stock"" (Zertifikat ist nachbestellt)",Mint
£652.62GBP,£652.62GBP,WASHBURN PXL10FTBM E-Gitarre in schwarz matt USED,Very Good
£886.96GBP,£886.96GBP,Gibson Les Paul Studio left 2006 Ebony (Black),Very Good
£816.94GBP,£816.94GBP,ESP LTD AW-7 Alex Wade Signature,Excellent
£299GBP,£299GBP,Epiphone Les Paul Muse Green Metallic ~ Secondhand,Excellent
"£2,053.09GBP","£2,053.09GBP",FRAMUS Diablo Progressive E-Gitarre in Burgundy Red Stain black USED!,Very Good
£652.62GBP,£652.62GBP,"SCHECTER Chris Garza PT-7, Silverburst - E-Gitarre USED!",Very Good
"£1,306.16GBP","£1,306.16GBP",BLADE California Custom Transparent Blue - E-Gitarre USED!,Very Good
"£2,660.89GBP","£2,660.89GBP",Fender CS '54 60th Anniversary Strat,Excellent
£213.80GBP,£213.80GBP,Audition (Teisco/Kawai/Sakai/Chushin) solidbody guitar ~1970s made in Japan,Good
"£3,899GBP","£3,899GBP",Gibson Custom 58 Les Paul Standard Butterscotch 2001 ~ Secondhand,Very Good
£512.57GBP,£512.57GBP,WASHBURN PXM100 E-Gitarre inkl. Gigbag USED,Very Good
"£1,857.96GBP","£1,857.96GBP",FRAMUS Diablo Supreme X Nirvana BLK Burst USED!,Very Good
£298.77GBP,£298.77GBP,Custom 77 London’s burning Raw power Yellow tv type junior,Excellent
"£1,026.19GBP","£1,026.19GBP",G&L LEGACY 30TH ANNIVERSARY PEARL WHITE ELECTRIC GUITAR,Excellent
"£1,512.33GBP","£1,512.33GBP",Gibson S-1 with with Maple Fretboard 1975 - 1979 Ebony,Excellent
£360.85GBP,£360.85GBP,"SQUIER Classic Vibe '70s Jaguar® - Black ""B-STOCK""",Mint
"£2,285GBP","£2,285GBP",Paul Reed Smith Custom 22 Tremolo 2004 Violin Amber,Mint
£750GBP,£750GBP,Fender Stratocaster 2008/ 2009 Burst,Mint
"£2,985GBP","£2,985GBP",Suhr Andy Wood Signature Modern T 2018 War Black,Mint
"£1,435GBP","£1,435GBP",Fender American Elite Stratocaster HSS Shawbucker with Maple Fretboard 2016 Autumn Blaze Metallic,Excellent
£465.89GBP,£465.89GBP,EVH Wolfgang WG Standard Quilt Maple 2016s Transparent Purple Burst,Very Good
£549.92GBP,£549.92GBP,Jackson WRXTMG 2012 Silver with Black Bevels,Excellent
"£3,300GBP","£3,300GBP",Fender Stratocaster 2019 Aged Olympic White,Mint
"£1,735GBP","£1,735GBP",Fender American Vintage '62 Stratocaster 2004 Ice Blue Metallic,Excellent
"£2,385GBP","£2,385GBP",Gibson Les Paul Standard T 2016 Trans Amber,Mint
£520.97GBP,£520.97GBP,Ibanez S771PB-NTF S Standard 700 Series HSH Poplar Burl Top Electric Guitar w/ Fixed Bridge Natural Flat,Very Good
"£1,073.69GBP","£1,073.69GBP",Fender American Stratocaster 2012,Excellent
"£1,385GBP","£1,385GBP",Gibson Les Paul Less Plus 2015 Desert Burst,Excellent
